source,target,type,weight
ITA-1.5.1,ITA-1.5.3,SAME_CHAPTER,0.5
ITA-1.5.1,ITA-1.5.4,SAME_CHAPTER,0.5
ITA-1.5.1,ITA-1.5.5,SAME_CHAPTER,0.5
ITA-1.5.1,ITA-1.5.6,SAME_CHAPTER,0.5
ITA-1.5.2,ITA-1.5.3,SAME_CHAPTER,0.5
ITA-1.5.2,ITA-1.5.4,SAME_CHAPTER,0.5
ITA-1.5.2,ITA-1.5.5,SAME_CHAPTER,0.5
ITA-1.5.2,ITA-1.5.6,SAME_CHAPTER,0.5
ITA-1.5.2,ITA-1.5.7,SAME_CHAPTER,0.5
ITA-1.5.3,ITA-1.5.4,SAME_CHAPTER,0.5
ITA-1.5.3,ITA-1.5.5,SAME_CHAPTER,0.5
ITA-1.5.3,ITA-1.5.6,SAME_CHAPTER,0.5
ITA-1.5.3,ITA-1.5.7,SAME_CHAPTER,0.5
ITA-1.5.3,ITA-1.5.8,SAME_CHAPTER,0.5
ITA-1.5.4,ITA-1.5.5,SAME_CHAPTER,0.5
ITA-1.5.4,ITA-1.5.6,SAME_CHAPTER,0.5
ITA-1.5.4,ITA-1.5.7,SAME_CHAPTER,0.5
ITA-1.5.4,ITA-1.5.8,SAME_CHAPTER,0.5
ITA-1.5.4,ITA-1.5.9,SAME_CHAPTER,0.5
ITA-1.5.5,ITA-1.5.6,SAME_CHAPTER,0.5
ITA-1.5.5,ITA-1.5.7,SAME_CHAPTER,0.5
ITA-1.5.5,ITA-1.5.8,SAME_CHAPTER,0.5
ITA-1.5.5,ITA-1.5.9,SAME_CHAPTER,0.5
ITA-1.5.5,ITA-1.6.1,SAME_CHAPTER,0.5
ITA-1.5.6,ITA-1.5.7,SAME_CHAPTER,0.5
ITA-1.5.6,ITA-1.5.8,SAME_CHAPTER,0.5
ITA-1.5.6,ITA-1.5.9,SAME_CHAPTER,0.5
ITA-1.5.6,ITA-1.6.1,SAME_CHAPTER,0.5
ITA-1.5.6,ITA-1.6.2,SAME_CHAPTER,0.5
ITA-1.5.7,ITA-1.5.8,SAME_CHAPTER,0.5
ITA-1.5.7,ITA-1.5.9,SAME_CHAPTER,0.5
ITA-1.5.7,ITA-1.6.1,SAME_CHAPTER,0.5
ITA-1.5.7,ITA-1.6.2,SAME_CHAPTER,0.5
ITA-1.5.7,ITA-1.6.3,SAME_CHAPTER,0.5
ITA-1.5.8,ITA-1.5.9,SAME_CHAPTER,0.5
ITA-1.5.8,ITA-1.6.1,SAME_CHAPTER,0.5
ITA-1.5.8,ITA-1.6.2,SAME_CHAPTER,0.5
ITA-1.5.8,ITA-1.6.3,SAME_CHAPTER,0.5
ITA-1.5.8,ITA-1.6.4,SAME_CHAPTER,0.5
ITA-1.5.9,ITA-1.6.1,SAME_CHAPTER,0.5
ITA-1.5.9,ITA-1.6.2,SAME_CHAPTER,0.5
ITA-1.5.9,ITA-1.6.3,SAME_CHAPTER,0.5
ITA-1.5.9,ITA-1.6.4,SAME_CHAPTER,0.5
ITA-1.5.9,ITA-1.6.5,SAME_CHAPTER,0.5
ITA-1.6.1,ITA-1.6.2,SAME_CHAPTER,0.5
ITA-1.6.1,ITA-1.6.3,SAME_CHAPTER,0.5
ITA-1.6.1,ITA-1.6.4,SAME_CHAPTER,0.5
ITA-1.6.1,ITA-1.6.5,SAME_CHAPTER,0.5
ITA-1.6.1,ITA-1.6.6,SAME_CHAPTER,0.5
ITA-1.6.2,ITA-1.6.3,SAME_CHAPTER,0.5
ITA-1.6.2,ITA-1.6.4,SAME_CHAPTER,0.5
ITA-1.6.2,ITA-1.6.5,SAME_CHAPTER,0.5
ITA-1.6.2,ITA-1.6.6,SAME_CHAPTER,0.5
ITA-1.6.2,ITA-1.6.7,SAME_CHAPTER,0.5
ITA-1.6.3,ITA-1.6.4,SAME_CHAPTER,0.5
ITA-1.6.3,ITA-1.6.5,SAME_CHAPTER,0.5
ITA-1.6.3,ITA-1.6.6,SAME_CHAPTER,0.5
ITA-1.6.3,ITA-1.6.7,SAME_CHAPTER,0.5
ITA-1.6.3,ITA-1.6.8,SAME_CHAPTER,0.5
ITA-1.6.4,ITA-1.6.5,SAME_CHAPTER,0.5
ITA-1.6.4,ITA-1.6.6,SAME_CHAPTER,0.5
ITA-1.6.4,ITA-1.6.7,SAME_CHAPTER,0.5
ITA-1.6.4,ITA-1.6.8,SAME_CHAPTER,0.5
ITA-1.6.4,ITA-1.6.9,SAME_CHAPTER,0.5
