id,english,iast,devanagari,type,chapter,doshas,dhatus,clinical_significance
ITA-5.3.32,Morbid increase,stanyavṛddhiḥ,स्तञवृद्धिः,DISEASE,5,,,medium
ITA-5.3.33,Disproportion of ojas,ojovaiṣamyam,ओजोवैषम्यम,DISEASE,5,,,medium
ITA-5.3.34,Diminution of ojas,ojakṣayaḥ,ओजक्षयः,DISEASE,5,,,medium
ITA-5.3.35,Dislodgement of ojas,ojovisramsaḥ,ओजोविस्रम्सः,DISEASE,5,,,medium
ITA-5.3.36,Derangement of ojas,ojovyāpat,ओजोव्यापत,DISEASE,5,,,medium
ITA-5.3.37,Excess formation,ojovṛddhiḥ,ओजोवृद्धिः,DISEASE,5,,,medium
ITA-5.4.1,Derangement of,malavaiṣamyam,मलवैषम्यम,DISEASE,5,,,medium
ITA-5.4.2,Derangement of urine,mūtravaiṣamyam,मूत्रवैषम्यम,DISEASE,5,,,medium
ITA-5.4.3,Diminution of urine,mūtrakṣayaḥ,मूत्रक्षयः,DISEASE,5,,,medium
ITA-5.4.4,Morbid,mūtravṛddhiḥ,मूत्रवृद्धिः,DISEASE,5,,,medium
ITA-5.4.5,Derangement,purīṣavaiṣamyam,पुरीषवैषम्यम,DISEASE,5,,,medium
ITA-5.4.6,Diminution of faeces,purīṣakṣayaḥ,पुरीषक्षयः,DISEASE,5,,,medium
ITA-5.4.7,Morbid increase,purīṣavṛddhiḥ,पुरीषवृद्धिः,DISEASE,5,,,medium
ITA-5.4.8,Excretory products,sāmamalaḥ,साममलः,DISEASE,5,,,medium
ITA-5.4.9,Derangement,svedavaiṣamyam,स्वेदवैषम्यम,DISEASE,5,,,medium
ITA-5.4.10,Diminution of sweat,svedakṣayaḥ,स्वेदक्षयः,DISEASE,5,,,medium
ITA-5.4.11,Morbid increase,svedavṛddhiḥ,स्वेदवृद्धिः,DISEASE,5,,,medium
ITA-5.4.12,Debris deposition at,jihvāmūlagatamalaḥ,जिह्वामूलगतमलः,DISEASE,5,,,medium
ITA-5.5.1,Vitiation of channels,srotovaiṣamyam,स्रोतोवैषम्यम,DISEASE,5,,,medium
ITA-5.5.2,Vitiation of channels,prāṇavahasrotoduṣṭiḥ,प्राणवहस्रोतोदुष्टिः,DISEASE,5,vata,,high
ITA-5.5.3,Vitiation of channels,udakavahasrotoduṣṭiḥ,उदकवहस्रोतोदुष्टिः,DISEASE,5,,,medium
ITA-5.5.4,Vitiation of channels,annavahasrotoduṣṭiḥ,अन्नवहस्रोतोदुष्टिः,DISEASE,5,,,medium
ITA-5.5.5,Vitiation of channels,rasavahasrotoduṣṭiḥ,रसवहस्रोतोदुष्टिः,DISEASE,5,,rasa,medium
ITA-5.5.6,Vitiation of channels,raktavahasrotoduṣṭiḥ,रक्तवहस्रोतोदुष्टिः,DISEASE,5,,rakta,medium
ITA-5.5.7,Vitiation of channels,māmsavahasrotoduṣṭiḥ,माम्सवहस्रोतोदुष्टिः,DISEASE,5,,,medium
ITA-5.5.8,Vitiation of channels,medovahasrotoduṣṭiḥ,मेदोवहस्रोतोदुष्टिः,DISEASE,5,,,medium
ITA-5.5.9,Vitiation of channels,asthivahasrotoduṣṭiḥ,अस्थिवहस्रोतोदुष्टिः,DISEASE,5,,asthi,medium
ITA-5.5.10,Vitiation of channels,majjāvahasrotoduṣṭiḥ,मज्जावहस्रोतोदुष्टिः,DISEASE,5,,majja,medium
ITA-5.5.11,Vitiation of channels,shukravahasrotoduṣṭiḥ,शुक्रवहस्रोतोदुष्टिः,DISEASE,5,,shukra,medium
ITA-5.5.12,Vitiation of channels,ārtavavahasrotoduṣṭiḥ,आर्तववहस्रोतोदुष्टिः,DISEASE,5,,,medium
ITA-5.5.13,Vitiation of channels,mūtravahasrōtōduṣṭiḥ,मूत्रवहस्रतदुष्टिः,DISEASE,5,,,medium
ITA-5.5.14,Vitiation of channels,purīṣavaha-srōtōduṣṭi,पुरीषवह-स्रतदुष्टि,DISEASE,5,,,medium
ITA-5.5.15,Vitiation of channels,svedavahasrotoduṣṭiḥ,स्वेदवहस्रोतोदुष्टिः,DISEASE,5,,,medium
ITA-5.6.1,Fever,jvaraḥ,ज्वरः,DISEASE,5,,,medium
ITA-5.6.2,Prodromal symptoms,jvarapūrvarupam,ज्वरपूर्वरुपम,DISEASE,5,,,medium
ITA-5.6.3,Fever due to,vātajvaraḥ,वातज्वरः,DISEASE,5,vata,,high
ITA-5.6.3,Fever due to,vātajvaraḥ,वातज्वरः,DISEASE,5,vata,,high
ITA-5.6.3,Fever due to,vātajvaraḥ,वातज्वरः,DISEASE,5,vata,,high
ITA-5.6.4,Prodromal symptoms,Vātikajvarapūrvarūpam;,वातिकज्वरपूर्वरूपम;,DISEASE,5,vata,,high
ITA-5.6.5,Fever due to,paittikajvaraḥ,पैत्तिकज्वरः,DISEASE,5,pitta,,high
ITA-5.6.6,Prodromal symptoms,paittikajvarapūrvarūpam,पैत्तिकज्वरपूर्वरूपम,DISEASE,5,pitta,,high
ITA-5.6.7,Fever due to,kaphajajvaraḥ,कफजज्वरः,DISEASE,5,kapha,,high
ITA-5.6.8,Prodromal symptoms,Kaphajvarapūrvarūpam,कफज्वरपूर्वरूपम,DISEASE,5,kapha,,high
ITA-5.6.9,Fever due to vitiated,kaphavātajajvaraḥ,कफवातजज्वरः,DISEASE,5,vata|kapha,,high
ITA-5.6.10,Fever due to vitiated,vātapittajajvaraḥ,वातपित्तजज्वरः,DISEASE,5,vata|pitta,,high
ITA-5.6.11,Fever due to vitiated,kaphapittajajvaraḥ,कफपित्तजज्वरः,DISEASE,5,pitta|kapha,,high
ITA-5.6.12,Fever due to,sannipātajajvaraḥ,सन्निपातजज्वरः,DISEASE,5,,,medium
ITA-5.6.13,Fever due to external,āgantujajvaraḥ,आगन्तुजज्वरः,DISEASE,5,,,medium
ITA-5.6.14,Intermittent fever,viṣamajvaraḥ,विषमज्वरः,DISEASE,5,,,medium
ITA-5.6.15,Intermittent fever,satataviṣamajvaraḥ,सततविषमज्वरः,DISEASE,5,,,medium
ITA-5.6.16,Continuous fever,santataviṣamajvaraḥ,सन्ततविषमज्वरः,DISEASE,5,,,medium
ITA-5.6.17,Intermittent fever,anyedyuṣkaviṣamajvaraḥ,अञेद्युष्कविषमज्वरः,DISEASE,5,,,medium
ITA-5.6.18,Intermittent fever,tṛtīyakaviṣamajvaraḥ,तृतीयकविषमज्वरः,DISEASE,5,,,medium
ITA-5.6.19,Intermittent fever,kaphapittatṛtīyakajvaraḥ,कफपित्ततृतीयकज्वरः,DISEASE,5,pitta|kapha,,high
ITA-5.6.20,Intermittent fever,vātakaphatṛtīyakajvaraḥ,वातकफतृतीयकज्वरः,DISEASE,5,vata|kapha,,high
